rir,rank,networkName,rows,sharePct
afrinic,1,TEC-JACKSON-CGNT-NET-6,1766,20.0
afrinic,2,GTT,1624,18.4
afrinic,3,FOOT-LOCKER-EUROPE-B-V-GTT,566,6.41
afrinic,4,REXEL-GTT,349,3.95
afrinic,5,CARRIER-GLOBAL-CORPORATION-GTT,71,0.8
afrinic,6,UDT-CGNT-NET-4,66,0.75
afrinic,7,SUEDZUCKER-AG-GTT,62,0.7
afrinic,8,UNITED-FIBER-CGNT-NET-4,59,0.67
afrinic,9,COGENT-154-59-16,51,0.58
afrinic,10,VELUX-A-S-GTT,49,0.56
afrinic,11,EWERTON-CGNT-NET-5,48,0.54
afrinic,12,UNILEVER-EUROPE-IT-GTT,44,0.5
afrinic,13,DMIT-CUSTOMER-US-CA-90017,44,0.5
afrinic,14,COGENT-154-3-16,41,0.46
afrinic,15,REXEL-UK-LIMITED-GTT,39,0.44
afrinic,16,ARCESE-TRASPORTI-SPA-GTT,37,0.42
afrinic,17,KOOKAI-GTT,35,0.4
afrinic,18,LEADEC-BETEILIGUNGEN-GMBH-GTT,33,0.37
afrinic,19,AMGEN-INC-GTT,31,0.35
afrinic,20,SOCIEDAD-ANONIMA-INDUSTRIAS-CELULOSA-ARAGONESA-SAICA-GTT,31,0.35
afrinic,21,SILVERSTAR-CGNT-NET-2,29,0.33
afrinic,22,ORG-AS7-AFRINIC,28,0.32
afrinic,23,DMIT-CUSTOMER-US-CA-90012,28,0.32
afrinic,24,CARRIER-HVAC-GTT,27,0.31
afrinic,25,ARCELORMITTAL-EUROPE-GTT,26,0.29
apnic,1,TR-SUPERONLINE-20250116,2048,9.83
apnic,2,VETTA,1143,5.49
apnic,3,TELSTRAINTERNET41-AU-20041202,985,4.73
apnic,4,ONQ,711,3.41
apnic,5,PCCWG-APAC-AS-AP,702,3.37
apnic,6,THEPACIFICNET,672,3.22
apnic,7,CLOUDFLARE_2400_CB00_0000_36,666,3.2
apnic,8,IDNIC-SANDYA-ID,511,2.45
apnic,9,IIG-AU,508,2.44
apnic,10,TELSTRAINTERNET49-AU,494,2.37
apnic,11,LIGHTNING1-AU,459,2.2
apnic,12,TELSTRAINTERNET47-AU,391,1.88
apnic,13,SUPERLOOP-AU,385,1.85
apnic,14,PDKPL-AU,283,1.36
apnic,15,NAYATEL-PK,268,1.29
apnic,16,TELSTRAGLOBAL,266,1.28
apnic,17,TELSTRAINTERNET2-AU,265,1.27
apnic,18,NEPTUNEINTERNET-AU,263,1.26
apnic,19,HYTRONNETWORK,260,1.25
apnic,20,NEPTUNE-AU,258,1.24
apnic,21,CYBERNET-PK,255,1.22
apnic,22,TELSTRAINTERNET50-AU,243,1.17
apnic,23,SAU-NET-AU,204,0.98
apnic,24,VOCUS-AU,194,0.93
apnic,25,SNOWF-1,188,0.9
arin,1,ECT-25,21529,10.09
arin,2,GWTC-IPV4-BLOCK3,15510,7.27
arin,3,OMNITEL-V6,9151,4.29
arin,4,GWTC-IPV4-BLOCK2,8066,3.78
arin,5,GWTC-IPV4-BLOCK4,7315,3.43
arin,6,INTERSTATE-TELEPHONE-COOPERATIVE-751021600,6204,2.91
arin,7,FASTLY,5364,2.51
arin,8,INTERSTATE-TELEPHONE-COOPERATIVE-66600,3978,1.86
arin,9,LINODE,3762,1.76
arin,10,OMNITEL-V4-01,3584,1.68
arin,11,AMPRNET,3280,1.54
arin,12,TEC-JACKSON-CGNT-NET-5,3005,1.41
arin,13,TKN-CUSTOMER,2673,1.25
arin,14,ETC-CABLE,2653,1.24
arin,15,APPLE-WWNET,2319,1.09
arin,16,VGPE,2007,0.94
arin,17,GOOGLE-CORP,1869,0.88
arin,18,LECNET-65-183-120-127,1366,0.64
arin,19,NETBLK-TDSNET-BLK,1338,0.63
arin,20,VTC-78,1281,0.6
arin,21,PCCWG-INTERNAL,1218,0.57
arin,22,INTERSTATE-TELEPHONE-COOPERATIVE-155946400,1211,0.57
arin,23,EASTLINK-V6-BLK1,1150,0.54
arin,24,NTS-ONLINE-1BLK,1127,0.53
arin,25,DATABROOK-COM-1,1097,0.51
lacnic,1,181.238.0.0 - 181.239.255.255,238,5.69
lacnic,2,186.157.0.0 - 186.157.255.255,123,2.94
lacnic,3,186.158.0.0 - 186.158.255.255,115,2.75
lacnic,4,IPXO,112,2.68
lacnic,5,186.122.0.0 - 186.122.255.255,110,2.63
lacnic,6,181.117.0.0 - 181.117.255.255,102,2.44
lacnic,7,186.182.0.0 - 186.182.255.255,99,2.37
lacnic,8,181.116.0.0 - 181.116.255.255,96,2.29
lacnic,9,186.13.0.0 - 186.13.255.255,87,2.08
lacnic,10,186.123.0.0 - 186.123.255.255,75,1.79
lacnic,11,186.191.0.0 - 186.191.255.255,75,1.79
lacnic,12,190.120.248.0 - 190.120.255.255,69,1.65
lacnic,13,190.221.0.0 - 190.221.255.255,66,1.58
lacnic,14,TW-Cloud,61,1.46
lacnic,15,186.12.128.0 - 186.12.255.255,60,1.43
lacnic,16,190.103.28.0 - 190.103.31.255,58,1.39
lacnic,17,2803:c000:: - 2803:c000:ffff:ffff:ffff:ffff:ffff:ffff,57,1.36
lacnic,18,186.12.0.0 - 186.12.127.255,56,1.34
lacnic,19,2800:370:: - 2800:370:ffff:ffff:ffff:ffff:ffff:ffff,53,1.27
lacnic,20,181.196.0.0 - 181.196.255.255,50,1.19
lacnic,21,190.220.0.0 - 190.220.127.255,42,1.0
lacnic,22,190.220.128.0 - 190.220.255.255,41,0.98
lacnic,23,186.178.0.0 - 186.178.255.255,41,0.98
lacnic,24,181.211.0.0 - 181.211.255.255,38,0.91
lacnic,25,181.113.0.0 - 181.113.255.255,37,0.88
ripe,1,UA-MONCHULYAK-20210104,65536,17.83
ripe,2,CLOUDFLAREWARP,32823,8.93
ripe,3,TKN-CUSTOMER,14407,3.92
ripe,4,ECT-25,8150,2.22
ripe,5,TELIANET,8010,2.18
ripe,6,FASTLY-4E41,7976,2.17
ripe,7,DTAG-ADSL-13,7272,1.98
ripe,8,DTAG-ADSL-16,7125,1.94
ripe,9,DTAG-ADSL-17,6979,1.9
